id,name,address_id,phone_id,vehicle_id
SUS-0001,Prakash Reddy,ADDR-0001,PHN-0041,
SUS-0002,Sunil Patil,ADDR-0001,PHN-0010,
SUS-0003,Arjun Reddy,ADDR-0001,PHN-0052,
SUS-0004,Ganesh Hegde,ADDR-0001,PHN-0059,
SUS-0005,Prakash Naik,ADDR-0001,PHN-0036,
SUS-0006,Kiran Hegde,ADDR-0040,,
SUS-0007,Naveen Hegde,ADDR-0011,,
SUS-0008,Manoj Gowda,ADDR-0018,,
SUS-0009,Anil Gowda,ADDR-0018,PHN-0046,VEH-0009
SUS-0010,Deepak Shetty,ADDR-0035,PHN-0010,VEH-0023
SUS-0011,Suresh Gowda,ADDR-0011,PHN-0022,
SUS-0012,Naveen Kumar,ADDR-0011,,VEH-0025
SUS-0013,Ravi Kumar,ADDR-0011,PHN-0001,
SUS-0014,Manoj Patil,ADDR-0011,PHN-0048,
SUS-0015,Ravi Gowda,ADDR-0032,PHN-0028,
SUS-0016,Naveen Shetty,ADDR-0026,,
SUS-0017,Suresh Kumar,ADDR-0026,PHN-0043,VEH-0021
SUS-0018,Naveen Naik,ADDR-0030,PHN-0017,VEH-0007
SUS-0019,Prakash Shetty,ADDR-0022,,VEH-0025
SUS-0020,Raju Patil,ADDR-0017,,
SUS-0021,Sunil Kumar,ADDR-0023,PHN-0005,VEH-0001
SUS-0022,Anil Kumar,ADDR-0002,,VEH-0001
SUS-0023,Ravi Naik,ADDR-0016,PHN-0043,VEH-0001
SUS-0024,Prakash Rao,ADDR-0024,PHN-0039,
SUS-0025,Sunil Reddy,ADDR-0011,,VEH-0001
SUS-0026,Manoj Patil,ADDR-0026,,VEH-0019
SUS-0027,Sunil Gowda,ADDR-0007,PHN-0020,
SUS-0028,Ravi Reddy,ADDR-0037,,VEH-0014
SUS-0029,Anil Shetty,ADDR-0005,PHN-0022,VEH-0014
SUS-0030,Raju Hegde,ADDR-0007,PHN-0024,
SUS-0031,Raju Hegde,ADDR-0010,PHN-0047,
SUS-0032,Anil Rao,ADDR-0040,,
SUS-0033,Prakash Hegde,ADDR-0028,,
SUS-0034,Deepak Gowda,ADDR-0006,PHN-0029,VEH-0015
SUS-0035,Ravi Patil,ADDR-0022,PHN-0055,VEH-0016
SUS-0036,Ramesh Shetty,ADDR-0017,PHN-0057,
SUS-0037,Manoj Kumar,ADDR-0034,,VEH-0024
SUS-0038,Naveen Hegde,ADDR-0036,,
SUS-0039,Anil Hegde,ADDR-0029,,VEH-0008
SUS-0040,Naveen Gowda,ADDR-0020,PHN-0024,
SUS-0041,Ganesh Shetty,ADDR-0028,,
SUS-0042,Deepak Hegde,ADDR-0018,PHN-0015,VEH-0007
SUS-0043,Deepak Reddy,ADDR-0035,,
SUS-0044,Ramesh Gowda,ADDR-0031,PHN-0038,
SUS-0045,Ganesh Rao,ADDR-0007,,VEH-0012
SUS-0046,Suresh Rao,ADDR-0001,,VEH-0002
SUS-0047,Arjun Rao,ADDR-0009,PHN-0049,
SUS-0048,Raju Kumar,ADDR-0037,PHN-0031,
SUS-0049,Suresh Kumar,ADDR-0017,,
SUS-0050,Raju Reddy,ADDR-0026,PHN-0037,
